,ii,v6,vz
128,[-0.7725 -0.7725 -0.774  ...  0.473   0.4715  0.474 ],[ 0.123   0.119   0.1205 ... -0.005  -0.01   -0.011 ],[-0.6105 -0.5955 -0.595  ...  0.6755  0.6725  0.684 ]
129,[ 0.248   0.2485  0.2485 ... -0.109  -0.1085 -0.111 ],[0.0585 0.0575 0.054  ... 0.026  0.0255 0.0275],[-0.204  -0.207  -0.204  ... -0.2085 -0.2075 -0.2065]
130,[-0.661  -0.6605 -0.6595 ...  0.287   0.288   0.2885],[ 0.1545  0.1565  0.156  ... -0.0795 -0.0785 -0.0815],[0.0865 0.0875 0.0855 ... 0.5815 0.5795 0.579 ]
131,[-0.674  -0.6775 -0.6795 ...  0.8585  0.86    0.86  ],[ 0.4215  0.423   0.4215 ... -0.557  -0.5595 -0.5585],[-1.074  -1.077  -1.0765 ...  1.452   1.453   1.45  ]
132,[ 0.422   0.4225  0.4205 ... -1.1625 -1.1665 -1.169 ],[-2.005  -2.006  -2.003  ...  1.436   1.4365  1.4335],[0.4985 0.496  0.4695 ... 2.2585 2.252  2.253 ]
133,[ 0.367   0.3665  0.3595 ... -0.025  -0.027  -0.0265],[ 1.413   1.413   1.418  ... -1.0665 -1.065  -1.0655],[-1.4895 -1.4965 -1.5045 ...  0.499   0.4985  0.4865]
134,[-0.419  -0.419  -0.4195 ... -0.056  -0.0535 -0.0565],[ 0.888   0.8855  0.8635 ...  0.      0.0015 -0.0065],[-0.91   -0.904  -0.8995 ...  0.414   0.406   0.408 ]
135,[-0.287  -0.286  -0.2845 ...  0.728   0.724   0.7175],[ 2.4485  2.4495  2.4505 ... -1.9905 -1.984  -1.9795],[1.1495 1.1525 1.1575 ... 1.22   1.2085 1.202 ]
136,[1.0065 0.976  0.95   ... 0.5615 0.587  0.618 ],[0.2395 0.1895 0.1385 ... 1.6065 1.566  1.528 ],[-0.1705 -0.161  -0.15   ...  0.351   0.363   0.373 ]
137,[ 0.7815  0.7815  0.7795 ... -0.5955 -0.5925 -0.591 ],[0.0885 0.0965 0.0885 ... 0.073  0.0805 0.0805],[-1.8865 -1.8865 -1.888  ...  1.3645  1.3695  1.3665]
138,[0.4415 0.4415 0.442  ... 0.2375 0.2345 0.2345],[ 2.0735  2.0715  2.07   ... -1.9985 -1.997  -1.993 ],[ 0.688  0.687  0.687 ... -0.034 -0.036 -0.052]
139,[-0.22   -0.2215 -0.2215 ...  0.151   0.1455  0.145 ],[-0.0485 -0.049  -0.0485 ...  0.04    0.0415  0.0385],[-0.3355 -0.339  -0.344  ...  0.011   0.013   0.003 ]
140,[0.209  0.205  0.1985 ... 0.6155 0.614  0.6125],[-0.102  -0.1095 -0.109  ...  0.0375  0.0335  0.0335],[-0.6245 -0.627  -0.6355 ... -1.3135 -1.3105 -1.3085]
141,[-0.2715 -0.268  -0.2665 ...  0.23    0.2295  0.229 ],[-0.1435 -0.1435 -0.1435 ...  0.223   0.2225  0.2225],[ 0.6415  0.642   0.6415 ... -0.725  -0.726  -0.728 ]
142,[ 0.398   0.3945  0.3895 ... -0.3925 -0.392  -0.3895],[ 0.129   0.1305  0.131  ... -0.213  -0.2145 -0.213 ],[-1.3785 -1.382  -1.3875 ...  0.996   1.0025  1.0025]
143,[ 0.301   0.3025  0.304  ... -0.204  -0.203  -0.201 ],[-0.072  -0.072  -0.076  ...  0.247   0.248   0.2435],[-0.3105 -0.309  -0.306  ...  0.293   0.2945  0.2945]
144,[-1.7975 -1.799  -1.802  ...  0.8485  0.8645  0.884 ],[-0.907  -0.9035 -0.901  ...  0.5175  0.4875  0.4695],[-3.3385 -3.3475 -3.3475 ...  1.792   1.8095  1.825 ]
145,[-0.0435 -0.046  -0.046  ...  0.0135  0.0115  0.011 ],[ 0.3555  0.3615  0.362  ... -0.471  -0.476  -0.4805],[-0.097  -0.0975 -0.1015 ...  0.2305  0.242   0.255 ]
146,[ 2.779   2.78    2.7805 ... -0.0045 -0.0055 -0.006 ],[-0.448  -0.4495 -0.4495 ...  1.6005  1.6005  1.598 ],[ 1.4095  1.4085  1.4115 ... -4.216  -4.2155 -4.212 ]
147,[ 0.3965  0.394   0.395  ... -0.7775 -0.779  -0.781 ],[ 0.714   0.7135  0.7105 ... -0.9945 -0.9995 -1.006 ],[0.0555 0.0515 0.0535 ... 1.269  1.27   1.28  ]
148,[ 1.2165  1.219   1.2145 ... -2.716  -2.713  -2.708 ],[-1.1905 -1.19   -1.1885 ...  3.1345  3.1365  3.138 ],[-1.281  -1.282  -1.2795 ...  1.4605  1.462   1.475 ]
149,[0.17   0.1685 0.1745 ... 0.1425 0.138  0.1295],[-0.1725 -0.1725 -0.1705 ... -0.3335 -0.3355 -0.338 ],[-0.4175 -0.419  -0.4155 ... -1.216  -1.2285 -1.249 ]
150,[-0.5835 -0.585  -0.584  ... -0.5165 -0.5175 -0.5185],[ 0.161   0.161   0.1615 ... -0.0785 -0.0825 -0.0825],[0.7185 0.7205 0.716  ... 2.1065 2.1065 2.11  ]
151,[ 0.506   0.5095  0.514  ... -0.705  -0.7045 -0.7035],[ 0.298   0.2725  0.227  ... -0.001  -0.0035 -0.0065],[-0.467  -0.455  -0.4475 ...  0.469   0.464   0.4665]
152,[-0.14   -0.137  -0.137  ...  0.0925  0.0945  0.098 ],[ 0.063   0.0615  0.061  ... -0.329  -0.3215 -0.313 ],[-0.253  -0.253  -0.2555 ...  0.622   0.623   0.6235]
153,[ 0.638   0.6395  0.6395 ... -0.3905 -0.391  -0.393 ],[ 0.1065  0.106   0.104  ... -0.138  -0.1395 -0.1415],[-0.7965 -0.7925 -0.789  ...  0.063   0.0675  0.0725]
154,[0.515 0.582 0.654 ... 0.344 0.341 0.337],[-0.271  -0.2585 -0.247  ... -0.1235 -0.123  -0.1245],[ 0.7025  0.745   0.7925 ... -0.3515 -0.35   -0.3485]
155,[-1.919  -1.919  -1.918  ...  3.643   3.642   3.6425],[ 0.3205  0.318   0.32   ... -1.439  -1.4405 -1.44  ],[ 2.5395  2.536   2.5375 ... -4.47   -4.4675 -4.4735]
156,[-0.2725 -0.279  -0.2785 ...  0.067   0.0655  0.0605],[-0.218  -0.2185 -0.2195 ... -0.043  -0.0435 -0.046 ],[-0.668  -0.6615 -0.6595 ...  0.781   0.781   0.784 ]
157,[-0.3725 -0.378  -0.3835 ...  0.21    0.218   0.227 ],[ 0.6605  0.6585  0.6555 ... -0.5145 -0.5175 -0.5145],[-0.8285 -0.8245 -0.8285 ...  1.2875  1.306   1.318 ]
158,[ 0.643   0.6495  0.648  ... -0.264  -0.274  -0.2805],[ 2.693   2.722   2.706  ... -1.507  -1.4825 -1.485 ],[-5.0415 -5.0375 -5.027  ...  3.711   3.6995  3.691 ]
159,[-0.6575 -0.6635 -0.666  ... -1.3775 -1.382  -1.3805],[ 0.071   0.067   0.0705 ... -0.1355 -0.138  -0.1385],[2.175  2.176  2.1995 ... 2.604  2.6145 2.616 ]
160,[-0.2065 -0.185  -0.1545 ...  0.034   0.0295  0.0325],[ 0.412   0.403   0.3945 ... -0.687  -0.6865 -0.6885],[0.519  0.5535 0.588  ... 0.2355 0.228  0.238 ]
161,[ 0.506   0.503   0.502  ... -0.1375 -0.138  -0.1415],[ 0.3615  0.356   0.359  ... -0.568  -0.5655 -0.5635],[-0.517  -0.516  -0.518  ...  0.6095  0.615   0.6135]
162,[-0.265  -0.259  -0.255  ... -0.056  -0.057  -0.0575],[-0.145  -0.145  -0.1415 ...  0.1795  0.181   0.182 ],[ 0.229   0.1975  0.2075 ... -0.174  -0.1815 -0.177 ]
163,[ 0.8395  0.845   0.8415 ... -0.819  -0.822  -0.818 ],[-0.5825 -0.5845 -0.584  ...  0.218   0.218   0.2135],[-1.7745 -1.7755 -1.7735 ...  1.5595  1.556   1.557 ]
164,[-0.01   -0.0065 -0.0085 ... -0.0195 -0.0205 -0.023 ],[ 0.5795  0.58    0.5805 ... -0.5515 -0.5525 -0.5515],[-0.723  -0.722  -0.7255 ...  0.638   0.6385  0.635 ]
165,[-0.4845 -0.4765 -0.4725 ...  0.3135  0.317   0.3175],[ 0.417   0.422   0.4205 ... -0.4705 -0.4655 -0.457 ],[ 1.7945  1.8035  1.8075 ... -1.4925 -1.491  -1.49  ]
166,[-0.0155 -0.017  -0.0145 ...  0.088   0.088   0.0875],[ 0.919   0.918   0.918  ... -0.548  -0.543  -0.5275],[-0.4085 -0.407  -0.4005 ...  0.5855  0.588   0.5835]
167,[-1.2965 -1.2915 -1.2925 ...  1.057   1.0545  1.0585],[-0.0585 -0.062  -0.062  ... -0.071  -0.0715 -0.072 ],[-4.5945 -4.6005 -4.6115 ...  3.603   3.611   3.608 ]
168,[-0.257  -0.256  -0.2565 ... -0.024  -0.023  -0.024 ],[-0.07   -0.07   -0.0705 ... -0.069  -0.0705 -0.072 ],[-0.3985 -0.396  -0.394  ...  0.2835  0.282   0.287 ]
169,[ 0.5595  0.56    0.5615 ... -0.317  -0.32   -0.323 ],[-0.114  -0.1135 -0.1105 ...  0.182   0.1855  0.186 ],[ 1.5805  1.588   1.581  ... -0.804  -0.807  -0.814 ]
170,[-0.054 -0.048 -0.044 ... -0.041 -0.037 -0.037],[-0.1095 -0.1065 -0.1085 ...  0.0635  0.063   0.061 ],[-0.2335 -0.231  -0.2165 ...  0.0615  0.0685  0.072 ]
171,[-0.206  -0.2095 -0.2325 ... -0.0115 -0.023  -0.02  ],[0.396  0.4285 0.4635 ... 0.115  0.118  0.102 ],[ 0.712   0.7075  0.669  ... -2.454  -2.461  -2.4535]
172,[ 0.2245  0.228   0.2315 ... -0.0275 -0.031  -0.0335],[-0.1195 -0.123  -0.1265 ...  0.024   0.0225  0.021 ],[ 0.779   0.7775  0.768  ... -1.0855 -1.076  -1.066 ]
173,[ 0.687   0.6855  0.6885 ... -0.887  -0.8885 -0.886 ],[0.083  0.0865 0.0865 ... 0.016  0.021  0.021 ],[0.176  0.1755 0.172  ... 0.546  0.535  0.5375]
174,[-0.174  -0.1725 -0.1745 ...  0.1045  0.1055  0.1065],[-0.1565 -0.1555 -0.155  ...  0.0445  0.0445  0.0425],[-0.5125 -0.515  -0.5225 ...  0.336   0.3405  0.343 ]
175,[0.3155 0.322  0.3245 ... 0.7145 0.7135 0.716 ],[-0.201  -0.203  -0.199  ...  0.1645  0.1665  0.1695],[ 2.5695  2.568   2.566  ... -2.3965 -2.4035 -2.403 ]
176,[-0.0155 -0.007  -0.004  ...  0.0585  0.057   0.055 ],[ 0.088   0.0845  0.0855 ... -0.1395 -0.1385 -0.1375],[-0.7635 -0.7315 -0.7255 ...  0.777   0.7775  0.775 ]
177,[ 0.471   0.456   0.452  ...  0.0015  0.0015 -0.001 ],[-0.095  -0.0935 -0.0935 ... -0.405  -0.399  -0.4005],[ 0.1225  0.118   0.1225 ... -0.8195 -0.823  -0.82  ]
178,[-0.477  -0.483  -0.4855 ...  0.5865  0.5865  0.591 ],[ 0.103   0.1005  0.104  ... -0.121  -0.1195 -0.12  ],[-0.51   -0.507  -0.5115 ...  0.333   0.3335  0.333 ]
179,[-0.1325 -0.129  -0.131  ...  0.063   0.062   0.0625],[ 0.0845  0.0845  0.0865 ... -0.024  -0.025  -0.023 ],[0.1235 0.1245 0.124  ... 0.2715 0.27   0.2645]
180,[ 0.4285  0.42    0.415  ... -0.1765 -0.1745 -0.1745],[ 0.5475  0.556   0.5685 ... -0.548  -0.544  -0.5445],[-0.073  -0.0725 -0.073  ...  0.042   0.0455  0.048 ]
181,[ 0.2525  0.2575  0.263  ... -0.056  -0.0595 -0.06  ],[ 0.1     0.108   0.1105 ... -0.0875 -0.085  -0.0855],[-2.4015 -2.407  -2.4075 ...  1.903   1.911   1.916 ]
182,[-0.0215 -0.0365 -0.055  ... -0.0265 -0.021  -0.019 ],[-0.0225 -0.039  -0.047  ...  0.515   0.5165  0.516 ],[-0.0325 -0.0525 -0.0705 ...  0.065   0.071   0.075 ]
183,[-0.071  -0.0705 -0.0715 ...  0.155   0.153   0.1545],[0.09   0.086  0.0845 ... 0.083  0.0765 0.0765],[-0.1295 -0.121  -0.1175 ... -0.033  -0.0235 -0.0245]
184,[-0.161  -0.1645 -0.157  ...  0.043   0.043   0.0385],[ 0.1015  0.1     0.0975 ... -0.2115 -0.208  -0.207 ],[-0.399  -0.397  -0.3945 ...  0.3495  0.3445  0.335 ]
185,[-1.2575 -1.2565 -1.2575 ... -0.8955 -0.899  -0.901 ],[-0.948  -0.953  -0.9545 ...  0.15    0.151   0.152 ],[-2.6375 -2.64   -2.637  ... -1.111  -1.114  -1.111 ]
186,[-0.3565 -0.3535 -0.3535 ...  0.23    0.231   0.2335],[0.0625 0.061  0.0655 ... 0.036  0.0425 0.0495],[-0.717  -0.716  -0.7125 ...  0.618   0.6175  0.622 ]
187,[ 0.7925  0.8     0.7995 ... -0.357  -0.3575 -0.3635],[ 0.022   0.0175  0.0135 ... -0.1355 -0.1375 -0.1395],[-0.648  -0.6475 -0.6465 ...  0.2625  0.2635  0.2605]
188,[-0.3115 -0.3105 -0.308  ... -0.9085 -0.9085 -0.9085],[-2.5325 -2.5365 -2.5375 ...  0.9965  0.996   0.9925],[-0.1175 -0.117  -0.116  ... -0.542  -0.5405 -0.5375]
189,[ 0.1925  0.1885  0.1835 ... -0.3045 -0.2955 -0.266 ],[-0.0335 -0.0295 -0.03   ... -0.149  -0.137  -0.1235],[-0.058  -0.0595 -0.061  ... -0.016  -0.0245 -0.0205]
190,[-0.0865 -0.0905 -0.0905 ...  0.061   0.062   0.0655],[-0.134  -0.1355 -0.137  ... -0.188  -0.189  -0.1895],[-1.6325 -1.624  -1.62   ...  1.286   1.285   1.2835]
191,[-0.506  -0.5055 -0.505  ...  1.286   1.2785  1.2745],[ 0.5745  0.574   0.573  ...  0.     -0.022  -0.0415],[-0.187  -0.192  -0.196  ... -2.2005 -2.201  -2.202 ]
192,[ 0.098   0.1015  0.104  ... -0.1995 -0.1995 -0.201 ],[0.1705 0.175  0.1785 ... 0.1115 0.11   0.1115],[-0.191  -0.1865 -0.1765 ... -0.115  -0.115  -0.118 ]
193,[-2.16   -2.157  -2.155  ...  0.398   0.398   0.3965],[-0.4345 -0.4345 -0.4295 ... -0.0665 -0.064  -0.0615],[ 1.886   1.8885  1.8775 ... -1.281  -1.287  -1.2935]
194,[ 0.07    0.0685  0.066  ... -0.4135 -0.415  -0.41  ],[ 0.431   0.435   0.4365 ... -0.5985 -0.6045 -0.6085],[ 0.5505  0.5455  0.5475 ... -0.609  -0.6035 -0.601 ]
195,[0.086  0.079  0.0775 ... 0.0555 0.0555 0.056 ],[ 0.1175  0.117   0.1165 ... -0.024  -0.0245 -0.0245],[-0.502  -0.4975 -0.5    ... -0.3095 -0.2915 -0.287 ]
196,[-0.129 -0.127 -0.129 ...  0.168  0.17   0.17 ],[ 0.45    0.4505  0.449  ... -0.274  -0.2695 -0.2715],[-0.35   -0.3485 -0.352  ...  0.1485  0.143   0.1405]
197,[ 0.2705  0.268   0.2675 ... -0.3835 -0.3845 -0.384 ],[-0.023  -0.023  -0.023  ... -0.03   -0.0295 -0.0315],[ 0.136   0.1275  0.1265 ... -0.0445 -0.0445 -0.054 ]
198,[-0.202  -0.206  -0.2085 ...  0.2785  0.2745  0.271 ],[-0.0075 -0.01   -0.0135 ...  0.2935  0.2925  0.29  ],[ 1.3845  1.39    1.39   ... -1.1845 -1.2015 -1.209 ]
199,[-0.0715 -0.0755 -0.0765 ...  0.1875  0.1855  0.187 ],[0.2885 0.285  0.2835 ... 0.0685 0.069  0.0685],[-0.1645 -0.162  -0.164  ... -0.1265 -0.1295 -0.126 ]
200,[-0.5465 -0.5435 -0.543  ...  0.1735  0.1675  0.17  ],[ 0.2895  0.2915  0.296  ... -0.208  -0.213  -0.212 ],[ 1.698   1.6975  1.695  ... -1.444  -1.447  -1.444 ]
201,[-0.0405 -0.0435 -0.043  ...  0.324   0.324   0.3255],[ 0.1     0.0995  0.095  ... -0.096  -0.1065 -0.1105],[ 0.826   0.8335  0.835  ... -2.533  -2.5205 -2.525 ]
202,[ 0.5625  0.559   0.561  ... -0.3785 -0.387  -0.3875],[ 0.1235  0.123   0.1215 ... -0.177  -0.1775 -0.1735],[-1.29   -1.2925 -1.283  ...  0.272   0.285   0.2775]
203,[-0.6    -0.5825 -0.565  ...  0.5435  0.542   0.5405],[ 0.401   0.4255  0.4565 ... -0.462  -0.4635 -0.465 ],[ 4.938   4.961   4.9775 ... -3.5225 -3.523  -3.5235]
204,[ 0.716   0.7145  0.7165 ... -0.6495 -0.647  -0.645 ],[0.8675 0.862  0.8585 ... 0.025  0.0285 0.034 ],[-2.059  -2.0585 -2.0515 ...  0.768   0.773   0.777 ]
205,[-0.62   -0.6205 -0.6225 ...  0.699   0.7025  0.7005],[0.2295 0.228  0.2305 ... 0.0945 0.0955 0.095 ],[ 1.315   1.3065  1.303  ... -1.334  -1.3365 -1.339 ]
206,[-0.83   -0.828  -0.826  ...  0.4565  0.4525  0.453 ],[ 0.2805  0.2815  0.284  ... -0.1035 -0.0915 -0.085 ],[ 5.0055  5.003   5.006  ... -0.3325 -0.342  -0.342 ]
207,[ 0.036   0.0375  0.037  ... -0.2415 -0.2395 -0.236 ],[ 0.325   0.327   0.3225 ... -0.4025 -0.401  -0.4   ],[-0.463  -0.462  -0.4605 ...  0.142   0.149   0.1495]
208,[ 0.0555  0.055   0.056  ... -0.0135 -0.018  -0.0155],[ 0.1805  0.1775  0.1775 ... -0.2695 -0.271  -0.2745],[ 0.174   0.1675  0.171  ... -0.3185 -0.3195 -0.325 ]
209,[1.0915 1.1085 1.1205 ... 0.8615 0.858  0.8595],[0.132  0.1275 0.1195 ... 0.1115 0.1145 0.116 ],[-2.5605 -2.5515 -2.54   ... -0.988  -0.9905 -0.9975]
210,[0.02   0.0205 0.024  ... 0.0185 0.02   0.021 ],[ 0.1405  0.142   0.1405 ... -0.1045 -0.1055 -0.1045],[0.1765 0.1765 0.18   ... 0.114  0.12   0.1225]
211,[ 0.475   0.487   0.493  ... -0.5005 -0.5065 -0.504 ],[-0.1375 -0.1335 -0.1325 ...  0.0475  0.0485  0.055 ],[ 0.386   0.411   0.42   ... -0.8295 -0.8065 -0.8015]
212,[-0.559  -0.5605 -0.5555 ...  0.8705  0.873   0.8725],[ 0.477   0.4775  0.4785 ... -0.475  -0.4745 -0.4735],[0.1375 0.1405 0.1335 ... 0.332  0.318  0.3195]
213,[-1.6225 -1.622  -1.62   ...  3.4465  3.447   3.4475],[ 0.4655  0.4695  0.467  ... -0.1915 -0.188  -0.1885],[ 0.437   0.4445  0.4515 ... -0.095  -0.084  -0.082 ]
214,[0.4945 0.4855 0.481  ... 0.6745 0.6805 0.6915],[ 0.1815  0.1825  0.1795 ... -0.0665 -0.067  -0.065 ],[-0.2985 -0.295  -0.292  ...  0.0665  0.068   0.078 ]
215,[-0.0545 -0.055  -0.0525 ... -1.24   -1.2385 -1.2385],[ 0.4175  0.416   0.4155 ... -0.0925 -0.09   -0.0905],[-0.8225 -0.8205 -0.829  ... -1.994  -1.989  -1.9875]
216,[-1.11   -1.1235 -1.137  ...  1.6355  1.6345  1.6375],[0.2225 0.2265 0.232  ... 0.6205 0.6215 0.621 ],[-2.4065 -2.421  -2.4445 ...  4.7975  4.798   4.8125]
217,[-0.218  -0.2195 -0.2205 ...  0.153   0.148   0.1475],[-0.2025 -0.206  -0.208  ...  0.034   0.039   0.044 ],[-0.6995 -0.693  -0.699  ...  0.793   0.791   0.7895]
218,[-0.418  -0.406  -0.397  ... -0.188  -0.1975 -0.2   ],[0.164  0.159  0.157  ... 0.1115 0.1055 0.104 ],[ 1.2175  1.233   1.2485 ... -0.3815 -0.3535 -0.3555]
219,[-0.6325 -0.64   -0.6375 ...  0.614   0.6125  0.6125],[ 1.243   1.2475  1.2505 ... -0.768  -0.769  -0.7675],[-0.102  -0.1025 -0.0975 ...  0.749   0.749   0.747 ]
220,[-0.7715 -0.776  -0.777  ...  0.2655  0.27    0.2675],[ 0.102   0.102   0.104  ... -0.1495 -0.1505 -0.1515],[-0.7055 -0.7025 -0.6965 ...  0.736   0.7435  0.742 ]
221,[-0.7225 -0.7265 -0.729  ...  0.6655  0.6625  0.657 ],[-0.0785 -0.0695 -0.0625 ... -0.0915 -0.103  -0.108 ],[-1.848  -1.8485 -1.8435 ...  2.151   2.1525  2.15  ]
222,[-0.6745 -0.679  -0.68   ...  0.307   0.306   0.307 ],[-0.181  -0.182  -0.1835 ...  0.021   0.022   0.021 ],[-1.7615 -1.772  -1.768  ...  1.643   1.6375  1.6345]
223,[ 0.5315  0.529   0.5275 ... -0.412  -0.415  -0.413 ],[ 0.166   0.1655  0.1675 ... -0.4055 -0.4055 -0.404 ],[0.4875 0.488  0.4805 ... 0.142  0.1485 0.1485]
224,[ 0.328   0.331   0.333  ... -1.2485 -1.251  -1.254 ],[-1.4495 -1.451  -1.4525 ... -2.8545 -2.848  -2.8445],[ 3.34    3.3515  3.353  ... -1.1    -1.1015 -1.098 ]
225,[-0.05   -0.0495 -0.0505 ... -0.0805 -0.081  -0.083 ],[1.0145 1.0135 1.0105 ... 0.19   0.189  0.1925],[ 0.075   0.0795  0.074  ... -0.068  -0.06   -0.063 ]
226,[-0.3335 -0.3345 -0.3305 ...  0.118   0.119   0.1205],[0.469  0.4675 0.461  ... 0.104  0.1015 0.101 ],[-0.9435 -0.9575 -0.969  ...  0.531   0.5265  0.5315]
227,[ 0.058   0.0535  0.0555 ... -0.1945 -0.191  -0.1915],[ 0.124   0.133   0.132  ... -0.0695 -0.0555 -0.0615],[-0.658  -0.6675 -0.6585 ...  0.331   0.323   0.3095]
228,[ 0.048   0.046   0.0435 ... -0.099  -0.098  -0.0935],[ 0.132   0.128   0.13   ... -0.2735 -0.2805 -0.2795],[-0.664  -0.6555 -0.6575 ...  0.51    0.505   0.509 ]
229,[ 1.1735  1.173   1.1755 ... -0.9535 -0.955  -0.9545],[ 0.473   0.4695  0.47   ... -0.346  -0.348  -0.3485],[-2.5665 -2.566  -2.5755 ...  1.673   1.685   1.6855]
230,[ 0.618   0.6225  0.6265 ... -0.3225 -0.323  -0.3175],[-0.1075 -0.1065 -0.1055 ...  0.     -0.005  -0.003 ],[ 0.088   0.082   0.081  ... -0.3035 -0.3065 -0.3105]
231,[-0.7345 -0.732  -0.73   ...  0.525   0.526   0.52  ],[ 0.11    0.11    0.1145 ... -0.11   -0.1115 -0.113 ],[-1.0025 -0.9925 -0.993  ...  1.454   1.4535  1.4405]
232,[0.1985 0.201  0.201  ... 0.5735 0.574  0.578 ],[0.4165 0.4175 0.419  ... 0.705  0.7045 0.701 ],[-1.47   -1.473  -1.472  ...  3.7895  3.7835  3.7885]
233,[-1.0755 -1.078  -1.074  ...  1.219   1.219   1.2255],[ 1.7215  1.725   1.725  ... -1.3245 -1.319  -1.316 ],[ 1.022   1.028   1.0305 ... -1.5765 -1.5745 -1.58  ]
234,[ 0.502   0.5035  0.508  ... -0.0345 -0.034  -0.0345],[ 0.244   0.241   0.2425 ... -0.2365 -0.2375 -0.237 ],[0.05   0.046  0.047  ... 0.0305 0.0275 0.0315]
235,[ 3.555   3.5515  3.5485 ... -2.477  -2.473  -2.4715],[ 0.52    0.5275  0.5245 ... -0.303  -0.304  -0.3015],[-4.7635 -4.764  -4.7735 ...  3.5435  3.5495  3.549 ]
236,[1.0095 1.01   1.0145 ... 0.5325 0.5315 0.529 ],[-0.6485 -0.6555 -0.661  ... -0.477  -0.4755 -0.474 ],[-0.2445 -0.232  -0.229  ... -0.22   -0.2145 -0.2205]
237,[ 1.4315  1.4295  1.4305 ... -0.7705 -0.7725 -0.774 ],[ 0.166   0.161   0.1605 ... -0.081  -0.081  -0.077 ],[-2.243  -2.2425 -2.234  ...  0.608   0.5975  0.5905]
238,[-1.1145 -1.1125 -1.112  ...  1.908   1.908   1.9045],[ 0.833   0.834   0.8335 ... -0.4145 -0.417  -0.4155],[1.0015 0.9985 1.0005 ... 1.374  1.374  1.3745]
239,[-0.176  -0.18   -0.164  ...  0.013   0.0135  0.0135],[ 0.227   0.23    0.2315 ... -0.149  -0.148  -0.1495],[-0.0835 -0.086  -0.094  ... -0.0245 -0.0235 -0.0235]
240,[-0.427  -0.429  -0.427  ...  0.403   0.405   0.4055],[ 0.244   0.2435  0.2445 ... -0.1695 -0.168  -0.1695],[-0.414  -0.4165 -0.41   ...  0.305   0.308   0.3035]
241,[-0.015  -0.019  -0.026  ... -0.156  -0.1615 -0.1615],[ 0.154   0.1545  0.1545 ... -0.3265 -0.3225 -0.325 ],[-1.0225 -1.029  -1.0195 ...  2.0295  2.0285  2.026 ]
242,[0.5155 0.516  0.516  ... 0.539  0.541  0.5455],[ 0.375   0.37    0.369  ... -0.1465 -0.1505 -0.1485],[ 0.2455  0.245   0.243  ... -0.1025 -0.1045 -0.123 ]
243,[-0.8105 -0.809  -0.8105 ...  0.6275  0.6305  0.6345],[-0.2365 -0.236  -0.238  ...  0.684   0.6835  0.6845],[ 1.7485  1.745   1.745  ... -2.4175 -2.418  -2.419 ]
244,[1.3945 1.39   1.39   ... 0.833  0.8465 0.8675],[1.279  1.2755 1.2745 ... 0.9695 0.9685 0.964 ],[0.917 0.913 0.91  ... 1.213 1.201 1.2  ]
245,[-0.1805 -0.176  -0.177  ...  0.3075  0.3085  0.3105],[ 0.095   0.095   0.095  ... -0.074  -0.0705 -0.068 ],[ 1.8295  1.827   1.834  ... -0.103  -0.103  -0.103 ]
246,[-0.522  -0.5215 -0.5235 ...  0.3125  0.3135  0.31  ],[1.3345 1.347  1.3505 ... 0.6845 0.681  0.6815],[-2.0205 -2.0375 -2.0425 ...  1.566   1.5585  1.557 ]
247,[ 0.152   0.156   0.152  ... -0.3015 -0.2975 -0.294 ],[ 0.211   0.2125  0.2105 ... -0.127  -0.126  -0.1265],[-0.18   -0.1775 -0.1785 ...  0.3165  0.319   0.316 ]
248,[-0.001  -0.004   0.004  ... -0.2825 -0.279  -0.2795],[-0.2005 -0.205  -0.2035 ...  0.0545  0.0545  0.054 ],[-0.573  -0.584  -0.5835 ...  0.563   0.5595  0.564 ]
249,[ 0.669   0.649   0.6535 ... -1.2865 -1.3545 -1.404 ],[0.5665 0.5915 0.5935 ... 0.4785 0.4625 0.441 ],[-1.14   -1.161  -1.1605 ...  2.642   2.599   2.5655]
250,[ 0.6635  0.6575  0.655  ... -0.786  -0.7875 -0.79  ],[-2.8155 -2.8135 -2.8225 ...  1.994   1.998   2.0025],[-1.351  -1.3505 -1.345  ...  2.215   2.222   2.2255]
251,[-0.9205 -0.921  -0.9255 ...  0.5405  0.5395  0.5405],[ 0.93    0.9305  0.9255 ... -0.3525 -0.3535 -0.3555],[-0.2185 -0.2095 -0.197  ...  0.084   0.0805  0.0775]
252,[-0.2095 -0.207  -0.2085 ... -0.047  -0.0485 -0.046 ],[0.032  0.033  0.033  ... 0.0015 0.0035 0.0035],[-0.6285 -0.633  -0.6345 ...  0.325   0.322   0.319 ]
253,[ 0.032  0.025  0.023 ... -0.115 -0.118 -0.12 ],[-0.0715 -0.076  -0.078  ...  0.0695  0.068   0.0675],[ 0.021   0.017   0.024  ... -0.1055 -0.1075 -0.107 ]
254,[ 0.2445  0.248   0.248  ... -0.2    -0.2025 -0.207 ],[ 0.009   0.0115  0.0115 ... -0.138  -0.1345 -0.131 ],[0.019  0.0155 0.017  ... 0.1    0.099  0.0955]
255,[-0.016  -0.013  -0.0135 ... -0.051  -0.053  -0.0525],[ 0.1235  0.1145  0.108  ... -0.1315 -0.132  -0.133 ],[0.101  0.112  0.1185 ... 0.1355 0.1365 0.141 ]
